strain	accession	subtype	date	host	country	region	species	broad	order
A/chicken/Jiangsu/12.30_WZNHQ013-P/2014(Mixed)	EPI666947	H3N2	2014-12-30	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/A3123/2022	EPI2047607	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/B314/2022	EPI2047623	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/C312/2022	EPI2047643	H3N8	2022-03-21	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS03/2022	OP024215	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS610/2022	OP225620	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS612/2022	OP225628	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/CKJS64/2022	OP225636	H3N8	2022-05-XX	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangsu/JS13/2022	PQ681288	H3N8	2022-11-20	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/01.08_YGCB018-P/2015(H3N2)	EPI660869	H3N2	2015-01-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/02.05_YGYXG001-P/2015(H3N2)	EPI660829	H3N2	2015-02-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10526/2022	EPI2594857	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10532/2022	EPI2594833	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10541/2022	EPI2594808	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10580/2022	EPI2595266	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/10598/2022	EPI2595411	H3N8	2022-02-26	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11740/2022	EPI2595698	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11741/2022	EPI2595475	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11765/2022	EPI2595881	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11767/2022	EPI2595873	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11774/2022	EPI2595865	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11775/2022	EPI2595857	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11782/2022	EPI2595849	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11796/2022	EPI2595841	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11803/2022	EPI2595833	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/11816/2022	EPI2595825	H3N8	2022-03-05	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12234/2022	EPI2595817	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12240/2022	EPI2595905	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12248/2022	EPI2595796	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12277/2022	EPI2595777	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12291/2022	EPI2595758	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12292/2022	EPI2595739	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12303/2022	EPI2595720	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/12309/2022	EPI2595701	H3N8	2022-03-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/1975/2022	EPI2595681	H3N8	2022-01-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3236/2022	EPI2595889	H3N8	2022-01-15	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3269/2022	EPI2595897	H3N8	2022-01-15	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3711/2022	EPI2595469	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3726/2022	EPI2595499	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/37317/2021	EPI2595522	H3N8	2021-12-18	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/37324/2021	EPI2595571	H3N8	2021-12-18	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/3758/2022	EPI2595595	H3N8	2022-01-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/38623/2021	EPI2595373	H3N8	2021-12-25	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6485/2022	EPI2595341	H3N8	2022-01-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6499/2022	EPI2595309	H3N8	2022-01-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6927/2022	EPI2595547	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6935/2022	EPI2595913	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6941/2022	EPI2595437	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6946/2022	EPI2595662	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6959/2022	EPI2595809	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6979/2022	EPI2595624	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/6991/2022	EPI2595606	H3N8	2022-02-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/722/2022	EPI2594236	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/740/2022	EPI2594975	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/772/2022	EPI2594944	H3N8	2022-01-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8021/2022	EPI2594912	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8027/2022	EPI2595793	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8047/2022	EPI2595774	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8058/2022	EPI2595755	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8068/2022	EPI2595736	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8076/2022	EPI2595717	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8085/2022	EPI2595008	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8093/2022	EPI2595643	H3N8	2022-02-12	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8520/2022	EPI2595659	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8550/2022	EPI2595640	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Jiangxi/8560/2022	EPI2595621	H3N8	2022-02-19	Avian	China	China	Chicken	chicken	Galliformes
