strain,accession,subtype,date,host,country,region,species,broad,order
A/blue-winged_teal/New_Brunswick/00599/2010|2010-08-15,EPI434006,H3N7,2010-08-15,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00600/2010|2010-08-15,EPI434013,H3N7,2010-08-15,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00765/2010|2010-08-25,EPI434020,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00766/2010|2010-08-25,EPI434027,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00767/2010|2010-08-25,EPI434049,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00768/2010|2010-08-25,EPI434064,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00769/2010|2010-08-25,EPI434071,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00770/2010|2010-08-25,CY138028,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00771/2010|2010-08-25,EPI434078,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00772/2010|2010-08-25,EPI434085,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00774/2010|2010-08-25,CY138446,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/00775/2010|2010-08-25,EPI434102,H3N8,2010-08-25,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/New_Brunswick/03757/2009|2009-09-14,EPI391961,H3N6,2009-09-14,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_Teal/North_Dakota/AI09-3642/2009|2009-09-04,EPI449898,H3N1,2009-09-04,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_Teal/North_Dakota/AI09-4039/2009|2009-09-14,EPI449949,H3N6,2009-09-14,Avian,Usa,North America,Mallard,duck,Anseriformes
A/blue-winged_teal/North_Dakota/Sg-00704/2008|2008-09-02,EPI188758,H3N8,2008-09-02,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/North_Dakota/Sg-00714/2008|2008-09-08,CY042984,H3N8,2008-09-08,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/North_Dakota/Sg-00719/2008|2008-09-08,EPI448657,H3N8,2008-09-08,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/North_Dakota/Sg-00740/2008|2008-09-07,EPI448677,H3N8,2008-09-07,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/North_Dakota/Sg-00759/2008|2008-09-11,EPI449467,H3N6,2008-09-11,Avian,Usa,North America,Mallard,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00069/2010|2010-09-07,EPI433792,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00071/2010|2010-09-07,EPI433810,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00072/2010|2010-09-07,EPI433817,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00073/2010|2010-09-07,EPI433824,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00074/2010|2010-09-07,EPI433831,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00075/2010|2010-09-07,EPI433838,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00076/2010|2010-09-07,EPI433845,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00077/2010|2010-09-07,EPI433852,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00078/2010|2010-09-07,EPI433880,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00079/2010|2010-09-07,EPI433908,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00080/2010|2010-09-07,EPI433915,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/00081/2010|2010-09-07,EPI433922,H3N8,2010-09-07,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/01002/2010|2010-09-20,EPI434145,H3N8,2010-09-20,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/01027/2010|2010-09-22,EPI434184,H3N8,2010-09-22,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Nova_Scotia/03971/2009|2009-08-27,CY125272,H3N8,2009-08-27,Avian,Canada,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/12OS2123/2012|2012-09-02,CY186555,H3N2,2012-09-02,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
A/blue-winged_teal/Ohio/12OS2154/2012|2012-09-15,CY186917,H3N2,2012-09-15,Avian,Usa,North America,Blue-winged Teal,duck,Anseriformes
