strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/Beijing/308/2017|2017-09-01,ON877628,H3N2,2017-09-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/309/2017|2017-09-01,ON877636,H3N2,2017-09-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/359/2009|2009-12-17,JX101395,H3N2,2009-12-17,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/362/2009|2009-12-17,EPI407532,H3N2,2009-12-17,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/364/2009|2009-12-17,EPI407524,H3N2,2009-12-17,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/418/2010|2010-01-08,JX101371,H3N2,2010-01-08,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/420/2010|2010-01-08,JX101420,H3N2,2010-01-08,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/509/2017|2017-12-01,ON877644,H3N2,2017-12-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/511/2010|2010-01-03,EPI407508,H3N2,2010-01-03,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/547/2018|2018-01-01,ON877652,H3N2,2018-01-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/618/2018|2018-02-01,ON877676,H3N2,2018-02-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Beijing/CAU-118/2018|2018-01-01,EPI2868529,H3N2,2018-01-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/CAU-501/2001|2001-05-01,EPI2868537,H3N2,2001-05-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/CAU-510/2010|2010-05-01,EPI2868545,H3N2,2010-05-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/CAU-511/2011|2011-05-01,EPI2868553,H3N2,2011-05-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/CAU-JC2538/2010|2010-08-01,EPI2868561,H3N2,2010-08-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/Beijing/CAU-JC2550/2010|2010-08-01,EPI2868569,H3N2,2010-08-01,Canine,China,China,Canine,Canine,Canine,8
A/canine/California/043670/2017|2017-03-24,MH363663,H3N2,2017-03-24,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/20170411-20/2017|2017-04-01,MG982743,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/84315/2017|2017-05-18,EPI1304922,H3N2,2017-05-18,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/BRW002/2018|2018-01-06,EPI1526447,H3N2,2018-01-06,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/BRW003/2018|2018-01-01,MK690587,H3N2,2018-01-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/CVM-17384101/2019|2019-06-01,EPI2906683,H3N2,2019-06-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-1738411/2019|2019-06-01,EPI2906691,H3N2,2019-06-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-32151101/2021|2021-10-14,EPI2906857,H3N2,2021-10-14,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-3215141/2021|2021-10-14,EPI2906865,H3N2,2021-10-14,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-3235751/2021|2021-10-17,EPI2906873,H3N2,2021-10-17,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-3275921/2021|2021-10-20,EPI2906881,H3N2,2021-10-20,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-32918141/2021|2021-10-21,EPI2906889,H3N2,2021-10-21,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-3299021/2021|2021-10-23,EPI2906897,H3N2,2021-10-23,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-33954291/2021|2021-10-29,EPI2906905,H3N2,2021-10-29,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/California/CVM-3466381/2021|2021-11-01,EPI2906913,H3N2,2021-11-01,Canine,Usa,North America,Canine,Canine,Canine,8
A/Canine/California/LACPHL-INF00004/2021|2021-08-06,EPI1914392,H3N2,2021-08-06,Canine,Usa,North America,Canine,canine,Canine,8
A/Canine/California/LACPHL-INF00006/2021|2021-08-06,EPI1914436,H3N2,2021-08-06,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M19-17384-1-1/2019|2019-06-01,OR731153,H3N2,2019-06-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M19-17384-10-1/2019|2019-06-01,OR731161,H3N2,2019-06-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32151-10-1/2021|2021-10-14,OR732119,H3N2,2021-10-14,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32151-4-1/2021|2021-10-14,OR732127,H3N2,2021-10-14,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32357-5-1/2021|2021-10-17,OR732135,H3N2,2021-10-17,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32759-2-1/2021|2021-10-20,OR732143,H3N2,2021-10-20,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32918-14-1/2021|2021-10-21,OR732151,H3N2,2021-10-21,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-32990-2-1/2021|2021-10-23,OR732159,H3N2,2021-10-23,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-33954-29-1/2021|2021-10-29,OR732167,H3N2,2021-10-29,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/California/M21-34663-8-1/2021|2021-11-01,OR732175,H3N2,2021-11-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/ChangChun/01/2023|2023-12-28,PQ374167,H3N2,2023-12-28,Canine,China,China,Canine,canine,Canine,8
A/canine/China/11071/2019|2019-02-11,MT904994,H3N2,2019-02-11,Canine,China,China,Canine,canine,Canine,8
A/canine/China/15001/2019|2019-02-02,EPI2475616,H3N2,2019-02-02,Canine,China,China,Canine,canine,Canine,8
A/canine/China/15027/2019|2019-03-02,EPI2475624,H3N2,2019-03-02,Canine,China,China,Canine,canine,Canine,8
A/canine/China/15066/2019|2019-03-02,EPI2475632,H3N2,2019-03-02,Canine,China,China,Canine,canine,Canine,8
A/canine/China/15068/2019|2019-03-02,EPI2475640,H3N2,2019-03-02,Canine,China,China,Canine,canine,Canine,8
A/canine/China/18004/2019|2019-04-30,MZ323823,H3N2,2019-04-30,Canine,China,China,Canine,canine,Canine,8
A/canine/China/6068/2018|2018-11-26,EPI2475611,H3N2,2018-11-26,Canine,China,China,Canine,canine,Canine,8
A/canine/China/A4/2021|2021-05-02,OK639107,H3N2,2021-05-02,Canine,China,China,Canine,canine,Canine,8
A/canine/China/HN3/2018|2018-05-22,MT905002,H3N2,2018-05-22,Canine,China,China,Canine,canine,Canine,8
A/canine/China/HN6/2018|2018-06-03,MT905010,H3N2,2018-06-03,Canine,China,China,Canine,canine,Canine,8
A/canine/China/JLM1/2015|2015-11-25,EPI1103613,H3N2,2015-11-25,Canine,China,China,Canine,canine,Canine,8
A/canine/China/JLM2/2015|2015-11-25,MG386686,H3N2,2015-11-25,Canine,China,China,Canine,canine,Canine,8
A/canine/China/LG1/2015|2015-12-16,EPI1172891,H3N2,2015-12-16,Canine,China,China,Canine,canine,Canine,8
A/canine/China/LG2/2015|2015-12-16,MG309812,H3N2,2015-12-16,Canine,China,China,Canine,canine,Canine,8
