strain,accession,subtype,date,host,country,region,species,broad,order,n_segments
A/canine/Ohio/A82/2017|2017-10-28,EPI1307979,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/A91/2017|2017-10-28,EPI1307987,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ohio/A97/2017|2017-10-28,EPI1307995,H3N2,2017-10-28,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Oklahoma/011242/2023|2023-04-05,EPI2564015,H3N2,2023-04-05,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Oklahoma/23-011242-001/2023|2023-04-05,OQ990387,H3N2,2023-04-05,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-001-4/2018|2018-01-05,MN586078,H3N2,2018-01-05,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-064-1/2018|2018-10-15,MN586086,H3N2,2018-10-15,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-1/2018|2018-10-22,MN586094,H3N2,2018-10-22,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-10/2018|2018-10-18,MN586102,H3N2,2018-10-18,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-6/2018|2018-10-22,MN586110,H3N2,2018-10-22,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-069-9/2018|2018-10-24,MN586118,H3N2,2018-10-24,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-1/2018|2018-01-09,MN586126,H3N2,2018-01-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-10/2018|2018-03-09,MN586134,H3N2,2018-03-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-11/2018|2018-03-09,MN586142,H3N2,2018-03-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-12/2018|2018-03-13,MN586150,H3N2,2018-03-13,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-13/2018|2018-03-13,MN586158,H3N2,2018-03-13,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-14/2018|2018-03-14,MN586166,H3N2,2018-03-14,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-15/2018|2018-03-14,MN586174,H3N2,2018-03-14,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-16/2018|2018-03-26,MN586182,H3N2,2018-03-26,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-2/2018|2018-01-09,MN586190,H3N2,2018-01-09,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-3/2018|2018-01-13,MN586198,H3N2,2018-01-13,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-4/2018|2018-01-26,MN586206,H3N2,2018-01-26,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-5/2018|2018-02-01,MN586214,H3N2,2018-02-01,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-7/2018|2018-03-02,MN586222,H3N2,2018-03-02,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-8/2018|2018-03-02,MN586230,H3N2,2018-03-02,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Ontario/NCFAD-2018-070-9/2018|2018-03-02,MN586238,H3N2,2018-03-02,Canine,Canada,North America,Canine,canine,Canine,8
A/canine/Pennsylvania/0261885/2015|2015-09-01,EPI1308061,H3N2,2015-09-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Pennsylvania/037756-1/2023|2023-02-22,OR738656,H3N2,2023-02-22,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Pennsylvania/20170411-5/2017|2017-04-01,MG982825,H3N2,2017-04-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Pennsylvania/985419/2023|2023-02-07,OR732209,H3N2,2023-02-07,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/Pennsylvania/CVM-037756-1/2023|2023-02-22,EPI2907471,H3N2,2023-02-22,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Pennsylvania/CVM-985419/2023|2023-02-07,EPI2906956,H3N2,2023-02-07,Canine,Usa,North America,Canine,Canine,Canine,8
A/canine/Shanghai/1204/2019|2019-05-01,ON877927,H3N2,2019-05-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/159/2017|2017-10-01,ON877943,H3N2,2017-10-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/20170622-7/2017|2017-06-22,MK212433,H3N2,2017-06-22,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/20170713-18/2017|2017-07-13,MK212425,H3N2,2017-07-13,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/20170721-36/2017|2017-07-21,MK212417,H3N2,2017-07-21,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/354/2017|2017-10-01,ON877951,H3N2,2017-10-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanghai/755/2018|2018-05-01,ON877959,H3N2,2018-05-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanxi/1286/2019|2019-07-01,ON877967,H3N2,2019-07-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanxi/361/2017|2017-10-01,ON877983,H3N2,2017-10-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Shanxi/676/2018|2018-04-01,ON877991,H3N2,2018-04-01,Canine,China,China,Canine,canine,Canine,8
A/canine/Singapore/SG_NParks_CIV_M10305/2018|2018-06-01,EPI2162124,H3N2,2018-06-01,Canine,Singapore,Southeast Asia,Canine,Canine,Canine,8
A/canine/Singapore/SG_NParks_CIV_M3405/2018|2018-06-01,EPI2162108,H3N2,2018-06-01,Canine,Singapore,Southeast Asia,Canine,canine,Canine,8
A/canine/Singapore/SG_NParks_CIV_M4705/2018|2018-06-01,ON965273,H3N2,2018-06-01,Canine,Singapore,Southeast Asia,Canine,canine,Canine,8
A/canine/South_Carolina/132956/2017|2017-08-01,EPI1308003,H3N2,2017-08-01,Canine,Usa,North America,Canine,canine,Canine,8
A/canine/South_Korea/0173915/2015|2015-11-01,EPI1098574,H3N2,2015-11-01,Canine,South Korea,Japan Korea,Canine,canine,Canine,8
