strain	accession	subtype	date	host	country	region	species	broad	order
A/chicken/Guangdong/6799/2021	EPI2593758	H3N8	2021-12-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/6803/2021	EPI2594618	H3N8	2021-12-29	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/684/2022	EPI2594886	H3N8	2022-04-27	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/72/2022	EPI2594412	H3N8	2022-01-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/734/2022	EPI2595321	H3N8	2022-04-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/745/2022	EPI2594364	H3N8	2022-02-18	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/778/2022	EPI2595289	H3N8	2022-04-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/781/2022	EPI2594699	H3N8	2022-04-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/790/2022	EPI2594723	H3N8	2022-04-08	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/842/2022	EPI2595265	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/85/2022	EPI2594682	H3N8	2022-01-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/856/2022	EPI2595297	H3N8	2022-03-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/868/2022	EPI2595241	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/876/2022	EPI2595217	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/879/2022	EPI2595386	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/888/2022	EPI2595193	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/898/2022	EPI2594979	H3N8	2022-03-06	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/916/2022	EPI2595145	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/93/2022	EPI2595121	H3N8	2022-02-22	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/971/2022	EPI2594747	H3N8	2022-04-19	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/F0103/2022	EPI2047420	H3N8	2022-01-03	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/F0210/2022	EPI2047436	H3N8	2022-02-10	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/F0314/2022	EPI2047566	H3N8	2022-03-14	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangdong/F1201/2021	EPI2047590	H3N8	2021-12-01	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/guangdong/G152/2019/H3N2	EPI2088403	H3N2	2019-03-04	Avian	China	China	Chicken	chicken	Galliformes
A/Chicken/Guangdong/G155/2019/H3N2	EPI2088411	H3N2	2019-03-04	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangxi/015C10/2009	EPI1006516	H3N2	2009-04-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangxi/073C2/2010	KT022266	H3N2	2010-07-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangxi/125C8/2012	KT022282	H3N2	2012-06-01	Avian	China	China	Chicken	chicken	Galliformes
A/chicken/Guangxi/135C10/2013	KT022298	H3N2	2013-03-01	Avian	China	China	Chicken	chicken	Galliformes
