strain,accession,subtype,date,host,country,region,species,broad,order
#A_Equine_Sweden_SVA111208SZ0077VIR167906_2011|2011-12-07,EPI620259,H3N8,2011-12-07,Equine,Sweden,Europe,Equine,equine,Equine
A/American_black_duck/Prince_Edward_Island/00788/2010|2010-08-25,EPI435106,H3N8,2010-08-25,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Prince_Edward_Island/14228/2006|2006-08-15,CY095452,H3N8,2006-08-15,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Prince_Edward_Island/14230/2006|2006-08-15,CY095460,H3N8,2006-08-15,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Quebec/11235/2006|2006-08-24,CY047650,H3N2,2006-08-24,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/St._John's/734/2008|2008-09-19,EPI420427,H3N8,2008-09-19,Avian,Canada,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Washington/699/1978|1978-01-01,EPI240857,H3N8,1978-01-01,Avian,Usa,North America,American Black Duck,duck,Anseriformes
A/American_black_duck/Western_Australia/699/1978|1978-01-01,GU052301,H3N8,1978-01-01,Avian,Australia,Oceania,American Black Duck,duck,Anseriformes
A/American_coot/Oregon/20589-007/2007|2007-12-17,CY076167,H3N8,2007-12-17,Avian,Usa,North America,American Coot,coot,Neoave
A/American_Green-winged_Teal/17OS4133/2017|2017-10-14,EPI1831364,H3N6,2017-10-14,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/103773/2008|2008-09-20,EPI839261,H3N8,2008-09-20,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/103781/2008|2008-09-13,KX714388,H3N6,2008-09-13,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/103885/2008|2008-09-13,KX714396,H3N6,2008-09-13,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/133672/2009|2009-08-13,EPI839293,H3N8,2009-08-13,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/133766/2009|2009-08-14,EPI839301,H3N8,2009-08-14,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/137886/2009|2009-09-27,EPI839325,H3N8,2009-09-27,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/137896/2009|2009-09-27,EPI839333,H3N8,2009-09-27,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/137916/2009|2009-09-18,EPI839341,H3N8,2009-09-18,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/14164/2006|2006-08-16,KX714324,H3N6,2006-08-16,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_Green-Winged_Teal/Alaska/19TL00145/2019|2019-08-11,EPI1894638,H3N8,2019-08-11,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/306/2014|2014-09-11,KT338351,H3N3,2014-09-11,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44155-169/2006|2006-08-12,JX081113,H3N8,2006-08-12,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44419-209/2008|2008-08-14,JX081116,H3N6,2008-08-14,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44419-233/2008|2008-08-10,JX081117,H3N6,2008-08-10,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44419-342/2008|2008-08-14,EPI442422,H3N8,2008-08-14,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44493-527/2009|2009-08-16,EPI442425,H3N8,2009-08-16,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44493-579/2009|2009-08-10,JX081125,H3N8,2009-08-10,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/44493-588/2009|2009-08-15,JX081126,H3N8,2009-08-15,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/45497/2007|2007-08-06,EPI839236,H3N8,2007-08-06,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/478/2014|2014-10-02,EPI729579,H3N1,2014-10-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/524/2014|2014-10-10,EPI729611,H3N8,2014-10-10,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Alaska/98313/2008|2008-09-13,EPI839253,H3N8,2008-09-13,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Idaho/AH0011443/2015|2015-08-23,EPI953141,H3N8,2015-08-23,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Illinois/11OS4814/2011|2011-10-22,EPI512948,H3N8,2011-10-22,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Illinois/12OS5103/2012|2012-10-20,EPI616473,H3N8,2012-10-20,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM04207R0/2010|2010-07-13,CY130471,H3N6,2010-07-13,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM05376R0/2010|2010-07-25,CY135731,H3N8,2010-07-25,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07573R0/2010|2010-08-02,EPI453364,H3N8,2010-08-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07649R0/2010|2010-08-02,EPI453378,H3N8,2010-08-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07917R0/2010|2010-08-03,EPI453399,H3N8,2010-08-03,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08134R0/2010|2010-08-04,EPI453420,H3N8,2010-08-04,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08222R0/2010|2010-08-04,EPI453658,H3N8,2010-08-04,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08228R0/2010|2010-08-04,EPI453672,H3N8,2010-08-04,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08422R0/2010|2010-08-04,EPI453679,H3N8,2010-08-04,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03657/2011|2011-09-01,EPI699630,H3N8,2011-09-01,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03661/2011|2011-09-01,EPI699658,H3N8,2011-09-01,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03897/2011|2011-09-04,CY196288,H3N8,2011-09-04,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03899/2011|2011-09-04,EPI699732,H3N8,2011-09-04,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11CH00044/2011|2011-09-10,EPI700088,H3N8,2011-09-10,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/11ML00038/2011|2011-09-09,EPI700465,H3N8,2011-09-09,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/3/2007|2007-10-17,EPI221414,H3N8,2007-10-17,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/4/2007|2007-09-07,EPI221422,H3N8,2007-09-07,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP1049/2007|2007-09-10,CY077382,H3N8,2007-09-10,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP1651/2007|2007-09-02,CY077240,H3N8,2007-09-02,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP2225/2007|2007-09-16,EPI221427,H3N8,2007-09-16,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12318R0/2009|2009-09-02,EPI453039,H3N8,2009-09-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12356R0/2009|2009-09-02,EPI453060,H3N8,2009-09-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12714R1/2009|2009-09-06,EPI453329,H3N8,2009-09-06,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM6410R0/2009|2009-08-03,EPI452562,H3N8,2009-08-03,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Mississippi/15OS7984/2015|2015-12-22,EPI967472,H3N8,2015-12-22,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Mississippi/285/2010|2010-01-14,EPI333670,H3N8,2010-01-14,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Missouri/15OS4838/2015|2015-09-12,EPI962721,H3N8,2015-09-12,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Missouri/17OS3186/2017|2017-09-09,EPI1537901,H3N8,2017-09-09,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Missouri/17OS3188/2017|2017-09-09,EPI1537756,H3N8,2017-09-09,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Missouri/17OS3212/2017|2017-09-09,EPI1538128,H3N8,2017-09-09,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_Green-winged_Teal/Missouri/17OS3221/2017|2017-09-09,MT824858,H3N8,2017-09-09,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_Green-winged_Teal/North_Dakota/AH0003568S.6.A/2015|2015-01-01,MN253963,H3N8,2015-01-01,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS1778/2013|2013-09-14,KJ568259,H3N2,2013-09-14,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS1844/2013|2013-09-07,KJ568251,H3N8,2013-09-07,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS1861/2013|2013-09-08,KJ568163,H3N8,2013-09-08,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS1867/2013|2013-09-08,KJ568283,H3N2,2013-09-08,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS2056/2013|2013-09-21,KJ568067,H3N2,2013-09-21,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS2106/2013|2013-09-22,KJ568099,H3N8,2013-09-22,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/13OS2108/2013|2013-09-22,KJ568363,H3N8,2013-09-22,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/15OS3625/2015|2015-09-05,KY583767,H3N1,2015-09-05,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_Green-winged_Teal/Ohio/17OS2904/2017|2017-09-02,EPI1537209,H3N8,2017-09-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_Green-winged_Teal/Ohio/17OS2916/2017|2017-09-02,MT824752,H3N8,2017-09-02,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Ohio/17OS2919/2017|2017-09-02,EPI1537760,H3N8,2017-09-02,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Oregon/44336-124/2007|2007-08-16,EPI290775,H3N8,2007-08-16,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Oregon/44336-183/2007|2007-09-10,CY076479,H3N8,2007-09-10,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Texas/AI09-4396/2009|2009-09-19,EPI449973,H3N9,2009-09-19,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Texas/AI09-6046/2009|2009-12-13,EPI447975,H3N8,2009-12-13,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2270/2008|2008-10-19,CY079422,H3N8,2008-10-19,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2291/2008|2008-10-20,EPI299469,H3N2,2008-10-20,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2292/2008|2008-10-20,EPI299381,H3N2,2008-10-20,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Wisconsin/13OS3462/2013|2013-09-29,KJ568035,H3N8,2013-09-29,Avian,Usa,North America,American Green-winged Teal,duck,Anseriformes
A/American_green-winged_teal/Wisconsin/2690/2009|2009-10-20,EPI333990,H3N8,2009-10-20,Avian,Usa,North America,Green-winged Teal,duck,Anseriformes
A/american_mink/British_Columbia/R6126/2021|2021-12-03,EPI3616943,H3N2,2021-12-03,Mink,Canada,North America,Mink,mink,Mink
A/american_mink/British_Columbia/R6673/2021|2021-12-03,EPI3616952,H3N2,2021-12-03,Mink,Canada,North America,Mink,mink,Mink
A/american_mink/British_Columbia/R7297/2021|2021-12-03,EPI3616980,H3N2,2021-12-03,Mink,Canada,North America,Mink,mink,Mink
