strain	accession	subtype	date	host	country	region	species	broad	order
A/American_green-winged_teal/Alaska/103885/2008	KX714397	H3N6	2008-09-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/133672/2009	KX714405	H3N8	2009-08-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/133766/2009	KX714413	H3N8	2009-08-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/137886/2009	KX714437	H3N8	2009-09-27	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/137896/2009	KX714445	H3N8	2009-09-27	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/137916/2009	KX714453	H3N8	2009-09-18	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/14164/2006	KX714325	H3N6	2006-08-16	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_Green-Winged_Teal/Alaska/19TL00145/2019	MW872165	H3N8	2019-08-11	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/306/2014	KT338352	H3N3	2014-09-11	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44155-169/2006	EPI442517	H3N8	2006-08-12	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44419-209/2008	EPI442522	H3N6	2008-08-14	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44419-233/2008	EPI442509	H3N6	2008-08-10	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44419-342/2008	JX081184	H3N8	2008-08-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44493-527/2009	EPI442502	H3N8	2009-08-16	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44493-579/2009	EPI442501	H3N8	2009-08-10	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/44493-588/2009	EPI442498	H3N8	2009-08-15	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/45497/2007	KX714349	H3N8	2007-08-06	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/478/2014	KT338423	H3N1	2014-10-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/524/2014	KT338455	H3N8	2014-10-10	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Alaska/98313/2008	KX714365	H3N8	2008-09-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Idaho/AH0011443/2015	KY551334	H3N8	2015-08-23	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Illinois/11OS4814/2011	CY166387	H3N8	2011-10-22	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Illinois/12OS5103/2012	CY186676	H3N8	2012-10-20	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM04207R0/2010	CY130470	H3N6	2010-07-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM05376R0/2010	CY135730	H3N8	2010-07-25	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07573R0/2010	CY143485	H3N8	2010-08-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07649R0/2010	CY143501	H3N8	2010-08-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM07917R0/2010	CY143525	H3N8	2010-08-03	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08134R0/2010	CY143549	H3N8	2010-08-04	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08222R0/2010	EPI453657	H3N8	2010-08-04	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08228R0/2010	CY143573	H3N8	2010-08-04	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/10BM08422R0/2010	CY143581	H3N8	2010-08-04	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03657/2011	CY196219	H3N8	2011-09-01	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03661/2011	CY196227	H3N8	2011-09-01	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03897/2011	CY196287	H3N8	2011-09-04	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11BM03899/2011	CY196295	H3N8	2011-09-04	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11CH00044/2011	CY196380	H3N8	2011-09-10	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/11ML00038/2011	CY196644	H3N8	2011-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/3/2007	EPI221415	H3N8	2007-10-17	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/4/2007	EPI221423	H3N8	2007-09-07	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP1049/2007	EPI296980	H3N8	2007-09-10	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP1651/2007	EPI296859	H3N8	2007-09-02	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/7MP2225/2007	CY047028	H3N8	2007-09-16	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12318R0/2009	CY143171	H3N8	2009-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12356R0/2009	CY143195	H3N8	2009-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM12714R1/2009	EPI453328	H3N8	2009-09-06	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Interior_Alaska/9BM6410R0/2009	CY142627	H3N8	2009-08-03	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Mississippi/15OS7984/2015	KY561269	H3N8	2015-12-22	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Mississippi/285/2010	CY097679	H3N8	2010-01-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Missouri/15OS4838/2015	EPI962269	H3N8	2015-09-12	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Missouri/17OS3186/2017	MK237048	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Missouri/17OS3188/2017	MK236813	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Missouri/17OS3212/2017	MK237074	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_Green-winged_Teal/Missouri/17OS3221/2017	MT824851	H3N8	2017-09-09	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_Green-winged_Teal/North_Dakota/AH0003568S.7.A/2015	MN253695	H3N8	2015-XX-XX	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1778/2013	KJ568260	H3N2	2013-09-14	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1844/2013	KJ568252	H3N8	2013-09-07	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1861/2013	KJ568164	H3N8	2013-09-08	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS1867/2013	KJ568284	H3N2	2013-09-08	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS2056/2013	KJ568068	H3N2	2013-09-21	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS2106/2013	KJ568100	H3N8	2013-09-22	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/13OS2108/2013	KJ568364	H3N8	2013-09-22	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/15OS3625/2015	EPI962762	H3N1	2015-09-05	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_Green-winged_Teal/Ohio/17OS2904/2017	MK237434	H3N8	2017-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_Green-winged_Teal/Ohio/17OS2916/2017	MT824753	H3N8	2017-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Ohio/17OS2919/2017	MK236868	H3N8	2017-09-02	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Oregon/44336-124/2007	EPI290774	H3N8	2007-08-16	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Oregon/44336-183/2007	EPI292479	H3N8	2007-09-10	Avian	Usa	North America	Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Texas/AI09-4396/2009	CY140954	H3N9	2009-09-19	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Texas/AI09-6046/2009	CY141058	H3N8	2009-12-13	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2270/2008	CY079421	H3N8	2008-10-19	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2291/2008	CY079429	H3N2	2008-10-20	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Wisconsin/08OS2292/2008	CY079341	H3N2	2008-10-20	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Wisconsin/13OS3462/2013	KJ568036	H3N8	2013-09-29	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/American_green-winged_teal/Wisconsin/2690/2009	CY097359	H3N8	2009-10-20	Avian	Usa	North America	American Green-winged Teal	duck	Anseriformes
A/american_mink/British_Columbia/R6126/2021	EPI3616950	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R6673/2021	EPI3616959	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R7297/2021	EPI3616987	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R7349/2021	EPI3616995	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R7376/2021	EPI3617003	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R7407/2021	EPI3617011	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R9941/2021	EPI3617024	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/american_mink/British_Columbia/R9962/2021	EPI3617032	H3N2	2021-12-03	Mink	Canada	North America	Mink	mink	Mink
A/American_oystercatcher/Chile/C17359/2016	MH498810	H3N8	2016-10-27	Avian	Chile	South America	American Oystercatcher	wader	Neoave
A/American_oystercatcher/Chile/C17400/2016	MH498996	H3N8	2016-10-27	Avian	Chile	South America	American Oystercatcher	wader	Neoave
A/American_widgeon/Alaska/7MP1061/2007	EPI190711	H3N8	2007-09-10	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_widgeon/Interior_Alaska/1/2007	EPI221447	H3N8	2007-09-06	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_widgeon/Interior_Alaska/7MP1707/2007	EPI296956	H3N8	2007-09-03	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_widgeon/Interior_Alaska/7MP1768/2007	CY077207	H3N8	2007-09-05	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/Alberta/215/1992	EPI344686	H3N8	1992-08-24	Avian	Canada	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/Interior_Alaska/7MP1726/2007	CY078916	H3N8	2007-09-03	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/Interior_Alaska/9BM2501R1/2009	CY130333	H3N8	2009-07-11	Avian	Usa	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/Minnesota/Sg-01067/2008	EPI449687	H3N8	2008-10-12	Avian	Usa	North America	American Black Duck	duck	Anseriformes
A/American_wigeon/New_Brunswick/04487/2007	CY125446	H3N8	2007-09-04	Avian	Canada	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/New_Brunswick/04488/2007	CY125534	H3N8	2007-09-04	Avian	Canada	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/New_Brunswick/04489/2007	CY125510	H3N8	2007-09-04	Avian	Canada	North America	American Wigeon	duck	Anseriformes
A/American_wigeon/New_Brunswick/04490/2007	CY125462	H3N8	2007-09-04	Avian	Canada	North America	American Wigeon	duck	Anseriformes
