strain	accession	subtype	date	host	country	region	species	broad	order
A/northern_pintail/Interior_Alaska/9BM12700R0/2009	EPI451038	H3N8	2009-09-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6144R0/2009	EPI450908	H3N8	2009-08-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6145R0/2009	EPI451041	H3N8	2009-08-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6146R0/2009	EPI450909	H3N8	2009-08-02	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6290R0/2009	EPI450912	H3N8	2009-08-03	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6902R0/2009	EPI450916	H3N8	2009-08-05	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM6960R0/2009	EPI436238	H3N8	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7044R0/2009	EPI450917	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7050R0/2009	EPI450918	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7052R0/2009	EPI450946	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7055R0/2009	EPI451042	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7069R0/2009	EPI451043	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7108R2/2009	EPI436245	H3N8	2009-01-01	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7118R1/2009	EPI450920	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7252R0/2009	EPI450921	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
A/northern_pintail/Interior_Alaska/9BM7254R0/2009	EPI450922	H3N8	2009-08-06	Avian	Usa	North America	Northern Pintail	duck	Anseriformes
